officer_id,name,assigned_station,email,phone,shift,rank
OFF_HALASURU_GATE_05,Venkatesh Rao,HALASURU GATE,off_halasuru_gate_05@btp-demo.example,+91-98679919968,night,HC
OFF_HEBBALA_01,Ramesh Kumar,HEBBALA,off_hebbala_01@btp-demo.example,+91-98047257658,day,ASI
OFF_HEBBALA_02,Suresh Singh,HEBBALA,off_hebbala_02@btp-demo.example,+91-98794398359,day,ASI
OFF_HEBBALA_03,Mahesh Reddy,HEBBALA,off_hebbala_03@btp-demo.example,+91-98524788495,day,ASI
OFF_HEBBALA_04,Ganesh Naidu,HEBBALA,off_hebbala_04@btp-demo.example,+91-98916817179,night,HC
OFF_HEBBALA_05,Venkatesh Rao,HEBBALA,off_hebbala_05@btp-demo.example,+91-98900529407,night,HC
OFF_HENNURU_01,Ramesh Kumar,HENNURU,off_hennuru_01@btp-demo.example,+91-98252836260,day,ASI
OFF_HENNURU_02,Suresh Singh,HENNURU,off_hennuru_02@btp-demo.example,+91-98973201186,day,ASI
OFF_HENNURU_03,Mahesh Reddy,HENNURU,off_hennuru_03@btp-demo.example,+91-98076894939,day,ASI
OFF_HENNURU_04,Ganesh Naidu,HENNURU,off_hennuru_04@btp-demo.example,+91-98067366522,night,HC
OFF_HENNURU_05,Venkatesh Rao,HENNURU,off_hennuru_05@btp-demo.example,+91-98623111605,night,HC
OFF_HIGH_GROUND_01,Ramesh Kumar,HIGH GROUND,off_high_ground_01@btp-demo.example,+91-98453050109,day,ASI
OFF_HIGH_GROUND_02,Suresh Singh,HIGH GROUND,off_high_ground_02@btp-demo.example,+91-98884561805,day,ASI
OFF_HIGH_GROUND_03,Mahesh Reddy,HIGH GROUND,off_high_ground_03@btp-demo.example,+91-98182979125,day,ASI
OFF_HIGH_GROUND_04,Ganesh Naidu,HIGH GROUND,off_high_ground_04@btp-demo.example,+91-98297947502,night,HC
OFF_HIGH_GROUND_05,Venkatesh Rao,HIGH GROUND,off_high_ground_05@btp-demo.example,+91-98358063595,night,HC
OFF_HSR_LAYOUT_01,Ramesh Kumar,HSR LAYOUT,off_hsr_layout_01@btp-demo.example,+91-98468456080,day,ASI
OFF_HSR_LAYOUT_02,Suresh Singh,HSR LAYOUT,off_hsr_layout_02@btp-demo.example,+91-98033638445,day,ASI
OFF_HSR_LAYOUT_03,Mahesh Reddy,HSR LAYOUT,off_hsr_layout_03@btp-demo.example,+91-98384002062,day,ASI
OFF_HSR_LAYOUT_04,Ganesh Naidu,HSR LAYOUT,off_hsr_layout_04@btp-demo.example,+91-98556255815,night,HC
OFF_HSR_LAYOUT_05,Venkatesh Rao,HSR LAYOUT,off_hsr_layout_05@btp-demo.example,+91-98443338515,night,HC
OFF_HULIMAVU_01,Ramesh Kumar,HULIMAVU,off_hulimavu_01@btp-demo.example,+91-98954514708,day,ASI
OFF_HULIMAVU_02,Suresh Singh,HULIMAVU,off_hulimavu_02@btp-demo.example,+91-98194410212,day,ASI
OFF_HULIMAVU_03,Mahesh Reddy,HULIMAVU,off_hulimavu_03@btp-demo.example,+91-98664713697,day,ASI
OFF_HULIMAVU_04,Ganesh Naidu,HULIMAVU,off_hulimavu_04@btp-demo.example,+91-98963448081,night,HC
OFF_HULIMAVU_05,Venkatesh Rao,HULIMAVU,off_hulimavu_05@btp-demo.example,+91-98604446976,night,HC
OFF_J.P._NAGAR_01,Ramesh Kumar,J.P. NAGAR,off_j.p._nagar_01@btp-demo.example,+91-98311686555,day,ASI
OFF_J.P._NAGAR_02,Suresh Singh,J.P. NAGAR,off_j.p._nagar_02@btp-demo.example,+91-98889583394,day,ASI
OFF_J.P._NAGAR_03,Mahesh Reddy,J.P. NAGAR,off_j.p._nagar_03@btp-demo.example,+91-98252745372,day,ASI
OFF_J.P._NAGAR_04,Ganesh Naidu,J.P. NAGAR,off_j.p._nagar_04@btp-demo.example,+91-98747780446,night,HC
OFF_J.P._NAGAR_05,Venkatesh Rao,J.P. NAGAR,off_j.p._nagar_05@btp-demo.example,+91-98843565691,night,HC
OFF_JALAHALLI_01,Ramesh Kumar,JALAHALLI,off_jalahalli_01@btp-demo.example,+91-98066976511,day,ASI
OFF_JALAHALLI_02,Suresh Singh,JALAHALLI,off_jalahalli_02@btp-demo.example,+91-98350555610,day,ASI
OFF_JALAHALLI_03,Mahesh Reddy,JALAHALLI,off_jalahalli_03@btp-demo.example,+91-98827788580,day,ASI
OFF_JALAHALLI_04,Ganesh Naidu,JALAHALLI,off_jalahalli_04@btp-demo.example,+91-98801207982,night,HC
OFF_JALAHALLI_05,Venkatesh Rao,JALAHALLI,off_jalahalli_05@btp-demo.example,+91-98948905837,night,HC
OFF_JAYANAGARA_01,Ramesh Kumar,JAYANAGARA,off_jayanagara_01@btp-demo.example,+91-98942539977,day,ASI
OFF_JAYANAGARA_02,Suresh Singh,JAYANAGARA,off_jayanagara_02@btp-demo.example,+91-98692233454,day,ASI
OFF_JAYANAGARA_03,Mahesh Reddy,JAYANAGARA,off_jayanagara_03@btp-demo.example,+91-98582632022,day,ASI
OFF_JAYANAGARA_04,Ganesh Naidu,JAYANAGARA,off_jayanagara_04@btp-demo.example,+91-98482105322,night,HC
OFF_JAYANAGARA_05,Venkatesh Rao,JAYANAGARA,off_jayanagara_05@btp-demo.example,+91-98262823775,night,HC
OFF_JEEVANBHEEMANAGAR_01,Ramesh Kumar,JEEVANBHEEMANAGAR,off_jeevanbheemanagar_01@btp-demo.example,+91-98239641865,day,ASI
OFF_JEEVANBHEEMANAGAR_02,Suresh Singh,JEEVANBHEEMANAGAR,off_jeevanbheemanagar_02@btp-demo.example,+91-98612457169,day,ASI
OFF_JEEVANBHEEMANAGAR_03,Mahesh Reddy,JEEVANBHEEMANAGAR,off_jeevanbheemanagar_03@btp-demo.example,+91-98821863260,day,ASI
OFF_JEEVANBHEEMANAGAR_04,Ganesh Naidu,JEEVANBHEEMANAGAR,off_jeevanbheemanagar_04@btp-demo.example,+91-98540667776,night,HC
OFF_JEEVANBHEEMANAGAR_05,Venkatesh Rao,JEEVANBHEEMANAGAR,off_jeevanbheemanagar_05@btp-demo.example,+91-98995939252,night,HC
OFF_JNANABHARATHI_01,Ramesh Kumar,JNANABHARATHI,off_jnanabharathi_01@btp-demo.example,+91-98643510436,day,ASI
OFF_JNANABHARATHI_02,Suresh Singh,JNANABHARATHI,off_jnanabharathi_02@btp-demo.example,+91-98967605648,day,ASI
OFF_JNANABHARATHI_03,Mahesh Reddy,JNANABHARATHI,off_jnanabharathi_03@btp-demo.example,+91-98474924935,day,ASI
OFF_JNANABHARATHI_04,Ganesh Naidu,JNANABHARATHI,off_jnanabharathi_04@btp-demo.example,+91-98832548475,night,HC
OFF_JNANABHARATHI_05,Venkatesh Rao,JNANABHARATHI,off_jnanabharathi_05@btp-demo.example,+91-98039296136,night,HC
OFF_K.G._HALLI_01,Ramesh Kumar,K.G. HALLI,off_k.g._halli_01@btp-demo.example,+91-98870421204,day,ASI
OFF_K.G._HALLI_02,Suresh Singh,K.G. HALLI,off_k.g._halli_02@btp-demo.example,+91-98378026392,day,ASI
OFF_K.G._HALLI_03,Mahesh Reddy,K.G. HALLI,off_k.g._halli_03@btp-demo.example,+91-98354207759,day,ASI
OFF_K.G._HALLI_04,Ganesh Naidu,K.G. HALLI,off_k.g._halli_04@btp-demo.example,+91-98987582510,night,HC
OFF_K.G._HALLI_05,Venkatesh Rao,K.G. HALLI,off_k.g._halli_05@btp-demo.example,+91-98038875037,night,HC
OFF_K.R._PURA_01,Ramesh Kumar,K.R. PURA,off_k.r._pura_01@btp-demo.example,+91-98006125914,day,ASI
OFF_K.R._PURA_02,Suresh Singh,K.R. PURA,off_k.r._pura_02@btp-demo.example,+91-98888559186,day,ASI
OFF_K.R._PURA_03,Mahesh Reddy,K.R. PURA,off_k.r._pura_03@btp-demo.example,+91-98193384272,day,ASI
OFF_K.R._PURA_04,Ganesh Naidu,K.R. PURA,off_k.r._pura_04@btp-demo.example,+91-98213379311,night,HC
OFF_K.R._PURA_05,Venkatesh Rao,K.R. PURA,off_k.r._pura_05@btp-demo.example,+91-98077642611,night,HC
OFF_K.S._LAYOUT_01,Ramesh Kumar,K.S. LAYOUT,off_k.s._layout_01@btp-demo.example,+91-98771613250,day,ASI
OFF_K.S._LAYOUT_02,Suresh Singh,K.S. LAYOUT,off_k.s._layout_02@btp-demo.example,+91-98895632395,day,ASI
OFF_K.S._LAYOUT_03,Mahesh Reddy,K.S. LAYOUT,off_k.s._layout_03@btp-demo.example,+91-98851505252,day,ASI
OFF_K.S._LAYOUT_04,Ganesh Naidu,K.S. LAYOUT,off_k.s._layout_04@btp-demo.example,+91-98432465314,night,HC
OFF_K.S._LAYOUT_05,Venkatesh Rao,K.S. LAYOUT,off_k.s._layout_05@btp-demo.example,+91-98271636837,night,HC
OFF_KAMAKSHIPALYA_01,Ramesh Kumar,KAMAKSHIPALYA,off_kamakshipalya_01@btp-demo.example,+91-98597483037,day,ASI
OFF_KAMAKSHIPALYA_02,Suresh Singh,KAMAKSHIPALYA,off_kamakshipalya_02@btp-demo.example,+91-98182495205,day,ASI
OFF_KAMAKSHIPALYA_03,Mahesh Reddy,KAMAKSHIPALYA,off_kamakshipalya_03@btp-demo.example,+91-98786130265,day,ASI
OFF_KAMAKSHIPALYA_04,Ganesh Naidu,KAMAKSHIPALYA,off_kamakshipalya_04@btp-demo.example,+91-98702441050,night,HC
OFF_KAMAKSHIPALYA_05,Venkatesh Rao,KAMAKSHIPALYA,off_kamakshipalya_05@btp-demo.example,+91-98390294515,night,HC
OFF_KENGERI_01,Ramesh Kumar,KENGERI,off_kengeri_01@btp-demo.example,+91-98494813779,day,ASI
OFF_KENGERI_02,Suresh Singh,KENGERI,off_kengeri_02@btp-demo.example,+91-98623184421,day,ASI
OFF_KENGERI_03,Mahesh Reddy,KENGERI,off_kengeri_03@btp-demo.example,+91-98192860358,day,ASI
OFF_KENGERI_04,Ganesh Naidu,KENGERI,off_kengeri_04@btp-demo.example,+91-98367009177,night,HC
OFF_KENGERI_05,Venkatesh Rao,KENGERI,off_kengeri_05@btp-demo.example,+91-98232191111,night,HC
OFF_KODIGEHALLI_01,Ramesh Kumar,KODIGEHALLI,off_kodigehalli_01@btp-demo.example,+91-98016135199,day,ASI
OFF_KODIGEHALLI_02,Suresh Singh,KODIGEHALLI,off_kodigehalli_02@btp-demo.example,+91-98828625011,day,ASI
OFF_KODIGEHALLI_03,Mahesh Reddy,KODIGEHALLI,off_kodigehalli_03@btp-demo.example,+91-98184892842,day,ASI
OFF_KODIGEHALLI_04,Ganesh Naidu,KODIGEHALLI,off_kodigehalli_04@btp-demo.example,+91-98043754563,night,HC
OFF_KODIGEHALLI_05,Venkatesh Rao,KODIGEHALLI,off_kodigehalli_05@btp-demo.example,+91-98023569236,night,HC
OFF_MADIWALA_01,Ramesh Kumar,MADIWALA,off_madiwala_01@btp-demo.example,+91-98774131286,day,ASI
OFF_MADIWALA_02,Suresh Singh,MADIWALA,off_madiwala_02@btp-demo.example,+91-98489821087,day,ASI
OFF_MADIWALA_03,Mahesh Reddy,MADIWALA,off_madiwala_03@btp-demo.example,+91-98983528979,day,ASI
OFF_MADIWALA_04,Ganesh Naidu,MADIWALA,off_madiwala_04@btp-demo.example,+91-98633576047,night,HC
OFF_MADIWALA_05,Venkatesh Rao,MADIWALA,off_madiwala_05@btp-demo.example,+91-98004051833,night,HC
OFF_MAGADI_ROAD_01,Ramesh Kumar,MAGADI ROAD,off_magadi_road_01@btp-demo.example,+91-98935737840,day,ASI
OFF_MAGADI_ROAD_02,Suresh Singh,MAGADI ROAD,off_magadi_road_02@btp-demo.example,+91-98105253035,day,ASI
OFF_MAGADI_ROAD_03,Mahesh Reddy,MAGADI ROAD,off_magadi_road_03@btp-demo.example,+91-98929467356,day,ASI
OFF_MAGADI_ROAD_04,Ganesh Naidu,MAGADI ROAD,off_magadi_road_04@btp-demo.example,+91-98090351812,night,HC
OFF_MAGADI_ROAD_05,Venkatesh Rao,MAGADI ROAD,off_magadi_road_05@btp-demo.example,+91-98355738452,night,HC
OFF_MAHADEVAPURA_01,Ramesh Kumar,MAHADEVAPURA,off_mahadevapura_01@btp-demo.example,+91-98951128637,day,ASI
OFF_MAHADEVAPURA_02,Suresh Singh,MAHADEVAPURA,off_mahadevapura_02@btp-demo.example,+91-98138154860,day,ASI
OFF_MAHADEVAPURA_03,Mahesh Reddy,MAHADEVAPURA,off_mahadevapura_03@btp-demo.example,+91-98378763743,day,ASI
OFF_MAHADEVAPURA_04,Ganesh Naidu,MAHADEVAPURA,off_mahadevapura_04@btp-demo.example,+91-98717447191,night,HC
OFF_MAHADEVAPURA_05,Venkatesh Rao,MAHADEVAPURA,off_mahadevapura_05@btp-demo.example,+91-98274576035,night,HC
OFF_MALLESHWARAM_01,Ramesh Kumar,MALLESHWARAM,off_malleshwaram_01@btp-demo.example,+91-98862917625,day,ASI
OFF_MALLESHWARAM_02,Suresh Singh,MALLESHWARAM,off_malleshwaram_02@btp-demo.example,+91-98619922603,day,ASI
OFF_MALLESHWARAM_03,Mahesh Reddy,MALLESHWARAM,off_malleshwaram_03@btp-demo.example,+91-98956006321,day,ASI
OFF_MALLESHWARAM_04,Ganesh Naidu,MALLESHWARAM,off_malleshwaram_04@btp-demo.example,+91-98380325276,night,HC
OFF_MALLESHWARAM_05,Venkatesh Rao,MALLESHWARAM,off_malleshwaram_05@btp-demo.example,+91-98825189739,night,HC
OFF_MICO_LAYOUT_01,Ramesh Kumar,MICO LAYOUT,off_mico_layout_01@btp-demo.example,+91-98166439224,day,ASI
OFF_MICO_LAYOUT_02,Suresh Singh,MICO LAYOUT,off_mico_layout_02@btp-demo.example,+91-98887333291,day,ASI
OFF_MICO_LAYOUT_03,Mahesh Reddy,MICO LAYOUT,off_mico_layout_03@btp-demo.example,+91-98719177408,day,ASI
OFF_MICO_LAYOUT_04,Ganesh Naidu,MICO LAYOUT,off_mico_layout_04@btp-demo.example,+91-98940235040,night,HC
OFF_MICO_LAYOUT_05,Venkatesh Rao,MICO LAYOUT,off_mico_layout_05@btp-demo.example,+91-98875243297,night,HC
OFF_NO_POLICE_STATION_01,Ramesh Kumar,NO POLICE STATION,off_no_police_station_01@btp-demo.example,+91-98623796262,day,ASI
OFF_NO_POLICE_STATION_02,Suresh Singh,NO POLICE STATION,off_no_police_station_02@btp-demo.example,+91-98251193285,day,ASI
OFF_NO_POLICE_STATION_03,Mahesh Reddy,NO POLICE STATION,off_no_police_station_03@btp-demo.example,+91-98716055870,day,ASI
OFF_NO_POLICE_STATION_04,Ganesh Naidu,NO POLICE STATION,off_no_police_station_04@btp-demo.example,+91-98653782924,night,HC
OFF_NO_POLICE_STATION_05,Venkatesh Rao,NO POLICE STATION,off_no_police_station_05@btp-demo.example,+91-98567374247,night,HC
OFF_PEENYA_01,Ramesh Kumar,PEENYA,off_peenya_01@btp-demo.example,+91-98900442367,day,ASI
OFF_PEENYA_02,Suresh Singh,PEENYA,off_peenya_02@btp-demo.example,+91-98431601907,day,ASI
OFF_PEENYA_03,Mahesh Reddy,PEENYA,off_peenya_03@btp-demo.example,+91-98507921719,day,ASI
OFF_PEENYA_04,Ganesh Naidu,PEENYA,off_peenya_04@btp-demo.example,+91-98268323631,night,HC
OFF_PEENYA_05,Venkatesh Rao,PEENYA,off_peenya_05@btp-demo.example,+91-98612169254,night,HC
OFF_PULIKESHINAGAR(F.TOWN)_01,Ramesh Kumar,PULIKESHINAGAR(F.TOWN),off_pulikeshinagar(f.town)_01@btp-demo.example,+91-98338422994,day,ASI
OFF_PULIKESHINAGAR(F.TOWN)_02,Suresh Singh,PULIKESHINAGAR(F.TOWN),off_pulikeshinagar(f.town)_02@btp-demo.example,+91-98254491483,day,ASI
OFF_PULIKESHINAGAR(F.TOWN)_03,Mahesh Reddy,PULIKESHINAGAR(F.TOWN),off_pulikeshinagar(f.town)_03@btp-demo.example,+91-98449144674,day,ASI
OFF_PULIKESHINAGAR(F.TOWN)_04,Ganesh Naidu,PULIKESHINAGAR(F.TOWN),off_pulikeshinagar(f.town)_04@btp-demo.example,+91-98358642723,night,HC
OFF_PULIKESHINAGAR(F.TOWN)_05,Venkatesh Rao,PULIKESHINAGAR(F.TOWN),off_pulikeshinagar(f.town)_05@btp-demo.example,+91-98401204191,night,HC
